label,os,is_mobile,country,pageviews
0,Windows Phone,true,Vietnam,2
0,Windows Phone,true,Germany,1
0,Samsung,true,India,4
0,Xbox,false,United States,1
0,BlackBerry,true,Vietnam,1
0,Windows Phone,true,Mexico,2
0,Windows Phone,true,Sri Lanka,1
0,Windows Phone,true,United States,1
0,Windows Phone,true,United States,2
0,Windows Phone,true,United States,26
0,Windows Phone,true,Vietnam,1
0,BlackBerry,true,India,1
0,Windows Phone,true,Romania,5
0,Windows Phone,true,Romania,3
0,Windows Phone,true,Romania,6
0,Windows Phone,true,Romania,20
0,Windows Phone,true,Vietnam,1
0,Windows Phone,true,Vietnam,1
0,Windows Phone,true,Vietnam,1
0,Windows Phone,true,India,1
0,Windows Phone,true,Poland,5
0,Windows Phone,true,Vietnam,1
0,Samsung,true,Philippines,1
0,Windows Phone,true,Brazil,1
0,Windows Phone,true,Taiwan,1
0,Xbox,false,Mexico,2
0,Samsung,true,India,1
0,Windows Phone,true,Colombia,1
0,Samsung,true,India,1
0,Firefox OS,true,Mexico,1
0,iOS,true,Brazil,1
0,iOS,true,United Kingdom,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,Germany,1
0,iOS,true,United Kingdom,1
0,iOS,true,Ireland,1
0,iOS,true,Japan,1
0,iOS,true,United Kingdom,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,Australia,1
0,iOS,true,Netherlands,1
0,iOS,true,United States,1
0,iOS,true,Germany,1
0,iOS,true,Netherlands,1
0,iOS,true,Sri Lanka,1
0,iOS,true,Spain,1
0,iOS,true,United Kingdom,1
0,iOS,true,New Zealand,1
0,iOS,true,India,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,Australia,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,Japan,1
0,iOS,true,United States,1
0,iOS,true,Malaysia,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,Japan,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,Canada,1
0,iOS,true,Egypt,1
0,iOS,true,Egypt,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,Greece,1
0,iOS,true,Japan,1
0,iOS,true,Japan,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United Kingdom,1
0,iOS,true,Germany,2
0,iOS,true,United States,2
0,iOS,true,United States,2
0,iOS,true,Canada,2
0,iOS,true,United States,2
0,iOS,true,United States,1
0,iOS,true,United States,2
0,iOS,true,United States,2
0,iOS,true,United States,2
0,iOS,true,Belgium,2
0,iOS,true,United States,1
1,iOS,true,United States,2
0,iOS,true,United States,2
0,iOS,true,United States,3
0,iOS,true,United States,3
0,iOS,true,United States,3
0,iOS,true,United States,2
0,iOS,true,Japan,2
0,iOS,true,Greece,2
0,iOS,true,United States,2
0,iOS,true,Japan,2
0,iOS,true,United Kingdom,3
0,iOS,true,United States,2
0,iOS,true,Australia,3
0,iOS,true,Ireland,4
0,iOS,true,United States,4
0,iOS,true,United States,3
0,iOS,true,United Kingdom,3
0,iOS,true,United States,2
0,iOS,true,Japan,3
0,iOS,true,United Kingdom,3
0,iOS,true,United Kingdom,3
0,iOS,true,United States,4
0,iOS,true,United States,4
0,iOS,true,Israel,3
0,iOS,true,United States,4
0,iOS,true,United States,4
0,iOS,true,Canada,4
0,iOS,true,United States,5
0,iOS,true,Japan,4
0,iOS,true,United States,3
0,iOS,true,United States,5
0,iOS,true,Singapore,5
0,iOS,true,United States,6
0,iOS,true,United States,5
0,iOS,true,Taiwan,5
0,iOS,true,United States,5
0,iOS,true,Australia,4
0,iOS,true,United States,7
0,iOS,true,Guatemala,5
0,iOS,true,United States,5
0,iOS,true,United States,7
0,iOS,true,United States,7
0,iOS,true,Thailand,7
0,iOS,true,Japan,7
0,iOS,true,United States,8
0,iOS,true,United Kingdom,7
0,iOS,true,United States,7
0,iOS,true,United States,7
0,iOS,true,United States,8
0,iOS,true,United States,6
0,iOS,true,Canada,7
0,iOS,true,United Kingdom,7
0,iOS,true,United States,7
0,iOS,true,United States,7
0,iOS,true,United States,5
0,iOS,true,Sweden,11
0,iOS,true,United States,8
0,iOS,true,United States,10
0,iOS,true,South Korea,12
0,iOS,true,Canada,12
0,iOS,true,United States,10
0,iOS,true,United States,15
0,iOS,true,United States,16
0,iOS,true,United States,20
0,iOS,true,India,19
0,iOS,true,United States,23
0,iOS,true,United States,24
0,iOS,true,United States,62
0,iOS,true,France,1
0,iOS,true,Spain,1
0,iOS,true,Japan,1
0,iOS,true,Japan,1
0,iOS,true,Taiwan,1
0,iOS,true,Israel,1
0,iOS,true,United States,1
0,iOS,true,Philippines,1
0,iOS,true,Qatar,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,2
0,iOS,true,United States,4
0,iOS,true,Qatar,4
0,iOS,true,Malaysia,4
0,iOS,true,Malaysia,11
0,iOS,true,Australia,1
0,iOS,true,Canada,2
0,iOS,true,Canada,2
0,iOS,true,Hungary,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,Japan,1
0,iOS,true,United Kingdom,1
0,iOS,true,Singapore,1
0,iOS,true,United States,1
0,iOS,true,Australia,1
0,iOS,true,Brazil,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,Canada,1
0,iOS,true,Canada,1
0,iOS,true,Estonia,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,Germany,2
0,iOS,true,United Kingdom,2
0,iOS,true,United States,2
0,iOS,true,United States,2
0,iOS,true,United States,2
0,iOS,true,United States,2
0,iOS,true,United States,2
0,iOS,true,Canada,2
0,iOS,true,United States,2
0,iOS,true,United States,3
0,iOS,true,United States,3
0,iOS,true,United States,3
0,iOS,true,Canada,2
0,iOS,true,Norway,3
0,iOS,true,Switzerland,2
0,iOS,true,Norway,3
0,iOS,true,United States,3
0,iOS,true,United States,3
0,iOS,true,Croatia,3
0,iOS,true,United States,4
0,iOS,true,Germany,4
0,iOS,true,Slovakia,3
0,iOS,true,United States,4
0,iOS,true,United States,4
0,iOS,true,United States,3
0,iOS,true,Spain,3
0,iOS,true,United States,4
0,iOS,true,United States,4
0,iOS,true,Germany,3
0,iOS,true,United States,6
0,iOS,true,United States,5
0,iOS,true,United States,4
0,iOS,true,Lithuania,4
0,iOS,true,United States,6
0,iOS,true,United States,4
0,iOS,true,Canada,5
0,iOS,true,United States,6
0,iOS,true,United States,6
0,iOS,true,Singapore,5
0,iOS,true,United States,6
0,iOS,true,United States,7
0,iOS,true,United States,6
0,iOS,true,United States,8
0,iOS,true,Japan,5
0,iOS,true,United States,6
0,iOS,true,United States,8
0,iOS,true,Belgium,8
0,iOS,true,Germany,6
0,iOS,true,United States,7
0,iOS,true,United States,8
0,iOS,true,United States,7
0,iOS,true,United Kingdom,8
0,iOS,true,United States,8
0,iOS,true,United States,7
0,iOS,true,United States,9
0,iOS,true,France,8
0,iOS,true,United States,7
0,iOS,true,United States,7
0,iOS,true,Canada,9
0,iOS,true,United States,11
0,iOS,true,United States,7
0,iOS,true,United States,9
0,iOS,true,United States,9
0,iOS,true,United States,10
0,iOS,true,Belgium,10
0,iOS,true,Germany,11
0,iOS,true,United States,10
0,iOS,true,United States,13
0,iOS,true,United States,13
0,iOS,true,South Korea,10
0,iOS,true,Norway,15
0,iOS,true,United States,11
0,iOS,true,United States,14
0,iOS,true,United States,11
1,iOS,true,United States,19
0,iOS,true,Estonia,16
0,iOS,true,United States,19
0,iOS,true,United States,22
0,iOS,true,United States,40
0,iOS,true,Germany,1
0,iOS,true,Italy,1
0,iOS,true,Slovakia,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,Japan,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,India,1
0,iOS,true,Switzerland,1
0,iOS,true,United Kingdom,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,Slovenia,1
0,iOS,true,United Kingdom,1
0,iOS,true,United Kingdom,1
0,iOS,true,Switzerland,1
0,iOS,true,France,1
0,iOS,true,Slovenia,1
0,iOS,true,United States,1
0,iOS,true,Brazil,1
0,iOS,true,Spain,1
0,iOS,true,Belgium,2
0,iOS,true,United Kingdom,2
0,iOS,true,United Kingdom,2
0,iOS,true,Denmark,1
0,iOS,true,Ireland,2
0,iOS,true,United States,2
0,iOS,true,United States,2
0,iOS,true,United States,2
0,iOS,true,Germany,2
0,iOS,true,United States,2
0,iOS,true,United States,2
0,iOS,true,United States,1
0,iOS,true,Bangladesh,1
0,iOS,true,Canada,1
0,iOS,true,United States,1
0,iOS,true,Germany,1
0,iOS,true,Norway,1
0,iOS,true,Norway,1
0,iOS,true,Togo,1
0,iOS,true,France,1
0,iOS,true,United States,1
0,iOS,true,Norway,1
0,iOS,true,Canada,1
0,iOS,true,Canada,1
0,iOS,true,United States,1
0,iOS,true,United Kingdom,1
0,iOS,true,United States,1
0,iOS,true,Japan,1
0,iOS,true,United States,1
0,iOS,true,Australia,1
0,iOS,true,United States,2
0,iOS,true,United Kingdom,1
0,iOS,true,Sweden,2
0,iOS,true,United States,2
0,iOS,true,Norway,2
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United Kingdom,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,Canada,1
0,iOS,true,Spain,1
0,iOS,true,Ireland,1
0,iOS,true,Japan,1
0,iOS,true,India,1
0,iOS,true,Germany,1
0,iOS,true,United Kingdom,1
0,iOS,true,Canada,1
0,iOS,true,United States,1
0,iOS,true,Italy,1
0,iOS,true,Australia,1
0,iOS,true,United Kingdom,1
0,iOS,true,Japan,1
0,iOS,true,Netherlands,1
0,iOS,true,India,1
0,iOS,true,Netherlands,1
0,iOS,true,Germany,1
0,iOS,true,United States,1
0,iOS,true,China,1
0,iOS,true,United States,1
0,iOS,true,Italy,1
0,iOS,true,India,1
0,iOS,true,United Kingdom,1
0,iOS,true,United States,1
0,iOS,true,Poland,1
0,iOS,true,Slovakia,1
0,iOS,true,Hong Kong,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,Vietnam,1
0,iOS,true,United States,1
0,iOS,true,Switzerland,1
0,iOS,true,Switzerland,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,Taiwan,1
0,iOS,true,United States,1
0,iOS,true,Germany,1
0,iOS,true,Austria,1
